0 OPEN 
9428 RULE 433cccb048ba21c7067c9a82da6e3286_b7018a4852d53d7b67823dfb26fcf547_6dca0d061ad727648e3fa81691a062cc_83ec8f23e5e9db60e40679e6829ee825_6dca0d061ad727648e3fa81691a062cc
9464 NODE 83ec8f23e5e9db60e40679e6829ee825_6dca0d061ad727648e3fa81691a062cc
9535 RULE a53a12e87c6fc763bb9ed8bd1188ff98_83ec8f23e5e9db60e40679e6829ee825_6dca0d061ad727648e3fa81691a062cc_13cfb88954afd1858520a8836f842beb_6dca0d061ad727648e3fa81691a062cc
9570 NODE 13cfb88954afd1858520a8836f842beb_6dca0d061ad727648e3fa81691a062cc
9649 RULE d820eb40bb79466f33bf732077f800f2_13cfb88954afd1858520a8836f842beb_6dca0d061ad727648e3fa81691a062cc_d0a71116b5f903a38a42e356d7c5d341_6dca0d061ad727648e3fa81691a062cc
9692 NODE d0a71116b5f903a38a42e356d7c5d341_6dca0d061ad727648e3fa81691a062cc
9780 RULE 4c1f18adab98d136c1b9aaed60f2e41c_d0a71116b5f903a38a42e356d7c5d341_6dca0d061ad727648e3fa81691a062cc_8065e9db36a53a602c532898df6407f0_6dca0d061ad727648e3fa81691a062cc
9823 NODE 8065e9db36a53a602c532898df6407f0_6dca0d061ad727648e3fa81691a062cc
9904 RULE cea77a2f7339b0ebc29955a3edd3ade3_8065e9db36a53a602c532898df6407f0_6dca0d061ad727648e3fa81691a062cc_c63f73f77db25c60bd5523879f1c75d8_6dca0d061ad727648e3fa81691a062cc
9948 NODE c63f73f77db25c60bd5523879f1c75d8_6dca0d061ad727648e3fa81691a062cc
10030 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_c63f73f77db25c60bd5523879f1c75d8_6dca0d061ad727648e3fa81691a062cc_e29027e3a496b4da6507d4688a1b935d_6dca0d061ad727648e3fa81691a062cc
10071 NODE e29027e3a496b4da6507d4688a1b935d_6dca0d061ad727648e3fa81691a062cc
10149 RULE 729209e285c9d6f1c48ff9853b440922_e29027e3a496b4da6507d4688a1b935d_6dca0d061ad727648e3fa81691a062cc_84b6fdd85f027c7df2bd02852e89deba_6dca0d061ad727648e3fa81691a062cc
10184 NODE 84b6fdd85f027c7df2bd02852e89deba_6dca0d061ad727648e3fa81691a062cc
10310 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_84b6fdd85f027c7df2bd02852e89deba_6dca0d061ad727648e3fa81691a062cc_bf15e5049ce3d1df63570239605e2cd4_6dca0d061ad727648e3fa81691a062cc
10345 NODE bf15e5049ce3d1df63570239605e2cd4_6dca0d061ad727648e3fa81691a062cc
10412 RULE b818b19118f03fb7b6677aee3c702185_bf15e5049ce3d1df63570239605e2cd4_6dca0d061ad727648e3fa81691a062cc_c1d63966097d43adcf25f0c28b45c5f1_6dca0d061ad727648e3fa81691a062cc
10447 NODE c1d63966097d43adcf25f0c28b45c5f1_6dca0d061ad727648e3fa81691a062cc
10518 RULE 552553eda0e8d8636618c95e092277b0_c1d63966097d43adcf25f0c28b45c5f1_6dca0d061ad727648e3fa81691a062cc_b63e7f8808bd82784f3202ac94b249f3_6dca0d061ad727648e3fa81691a062cc
10557 NODE b63e7f8808bd82784f3202ac94b249f3_6dca0d061ad727648e3fa81691a062cc
10625 RULE 70cc981e905ae18e1c6074578475b6a5_b63e7f8808bd82784f3202ac94b249f3_6dca0d061ad727648e3fa81691a062cc_68f8487a17dd6754302f884c6a85201_6dca0d061ad727648e3fa81691a062cc
10660 NODE 68f8487a17dd6754302f884c6a85201_6dca0d061ad727648e3fa81691a062cc
10729 RULE 433cccb048ba21c7067c9a82da6e3286_68f8487a17dd6754302f884c6a85201_6dca0d061ad727648e3fa81691a062cc_5540755e41f7ecb133228ee5f2368920_6dca0d061ad727648e3fa81691a062cc
10764 NODE 5540755e41f7ecb133228ee5f2368920_6dca0d061ad727648e3fa81691a062cc
10855 RULE a53a12e87c6fc763bb9ed8bd1188ff98_5540755e41f7ecb133228ee5f2368920_6dca0d061ad727648e3fa81691a062cc_43e771d226174520cb48e9b45d3d97c8_6dca0d061ad727648e3fa81691a062cc
10894 NODE 43e771d226174520cb48e9b45d3d97c8_6dca0d061ad727648e3fa81691a062cc
10962 RULE d820eb40bb79466f33bf732077f800f2_43e771d226174520cb48e9b45d3d97c8_6dca0d061ad727648e3fa81691a062cc_d0784174327bf007bccb6c8f83b5f33f_6dca0d061ad727648e3fa81691a062cc
10996 NODE d0784174327bf007bccb6c8f83b5f33f_6dca0d061ad727648e3fa81691a062cc
11064 RULE aacfcaf0c8695ff5d4612c00c4fbacd4_d0784174327bf007bccb6c8f83b5f33f_6dca0d061ad727648e3fa81691a062cc_412aaf69b1f89dd6f9a490ee11ff9e9f_6dca0d061ad727648e3fa81691a062cc
11098 NODE 412aaf69b1f89dd6f9a490ee11ff9e9f_6dca0d061ad727648e3fa81691a062cc
11164 RULE cea77a2f7339b0ebc29955a3edd3ade3_412aaf69b1f89dd6f9a490ee11ff9e9f_6dca0d061ad727648e3fa81691a062cc_50200702ed082c1b71b375e35f8e225b_6dca0d061ad727648e3fa81691a062cc
11200 NODE 50200702ed082c1b71b375e35f8e225b_6dca0d061ad727648e3fa81691a062cc
11278 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_50200702ed082c1b71b375e35f8e225b_6dca0d061ad727648e3fa81691a062cc_c5f9e02a109ba43af57a7d1f3beece7f_6dca0d061ad727648e3fa81691a062cc
11317 NODE c5f9e02a109ba43af57a7d1f3beece7f_6dca0d061ad727648e3fa81691a062cc
11386 RULE 51816da50dcfbbd08ee25e76c878e478_c5f9e02a109ba43af57a7d1f3beece7f_6dca0d061ad727648e3fa81691a062cc_e90b3cdbcbc49f2c4e06b8968d09fef0_6dca0d061ad727648e3fa81691a062cc
11421 NODE e90b3cdbcbc49f2c4e06b8968d09fef0_6dca0d061ad727648e3fa81691a062cc
11559 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_e90b3cdbcbc49f2c4e06b8968d09fef0_6dca0d061ad727648e3fa81691a062cc_6b68a28b4671b200f6bd919f52b207d9_6dca0d061ad727648e3fa81691a062cc
11675 SRULE 265010868289ffc9cf0b477833fe1828_6b68a28b4671b200f6bd919f52b207d9_6dca0d061ad727648e3fa81691a062cc_9e7dd1a61d191f3fe16826ee401ebda5_6dca0d061ad727648e3fa81691a062cc
11709 NODE 9e7dd1a61d191f3fe16826ee401ebda5_6dca0d061ad727648e3fa81691a062cc
11777 RULE dbdc342f3d4f7725f91a0be890ef88eb_9e7dd1a61d191f3fe16826ee401ebda5_6dca0d061ad727648e3fa81691a062cc_c030155257ace790d0871970b42a27ea_6dca0d061ad727648e3fa81691a062cc
11811 NODE c030155257ace790d0871970b42a27ea_6dca0d061ad727648e3fa81691a062cc
11881 RULE 70cc981e905ae18e1c6074578475b6a5_c030155257ace790d0871970b42a27ea_6dca0d061ad727648e3fa81691a062cc_3fa6b284ab027bccd08b5ed27dc4e066_6dca0d061ad727648e3fa81691a062cc
11917 NODE 3fa6b284ab027bccd08b5ed27dc4e066_6dca0d061ad727648e3fa81691a062cc
11991 RULE 433cccb048ba21c7067c9a82da6e3286_3fa6b284ab027bccd08b5ed27dc4e066_6dca0d061ad727648e3fa81691a062cc_b77c6544f1a064869e496d7e5e98842d_6dca0d061ad727648e3fa81691a062cc
12028 NODE b77c6544f1a064869e496d7e5e98842d_6dca0d061ad727648e3fa81691a062cc
12102 RULE a53a12e87c6fc763bb9ed8bd1188ff98_b77c6544f1a064869e496d7e5e98842d_6dca0d061ad727648e3fa81691a062cc_da2852d96262f298b08815ffe60248d7_6dca0d061ad727648e3fa81691a062cc
12137 NODE da2852d96262f298b08815ffe60248d7_6dca0d061ad727648e3fa81691a062cc
12206 RULE d820eb40bb79466f33bf732077f800f2_da2852d96262f298b08815ffe60248d7_6dca0d061ad727648e3fa81691a062cc_b97d86d22a768e2c8d9fe3c955f27fa6_6dca0d061ad727648e3fa81691a062cc
12241 NODE b97d86d22a768e2c8d9fe3c955f27fa6_6dca0d061ad727648e3fa81691a062cc
12333 RULE fcc932f6797bec5c4fa9a0919113472d_b97d86d22a768e2c8d9fe3c955f27fa6_6dca0d061ad727648e3fa81691a062cc_ebb31e2752aea4ec8d0c0149c7861253_6dca0d061ad727648e3fa81691a062cc
12367 NODE ebb31e2752aea4ec8d0c0149c7861253_6dca0d061ad727648e3fa81691a062cc
12434 RULE cea77a2f7339b0ebc29955a3edd3ade3_ebb31e2752aea4ec8d0c0149c7861253_6dca0d061ad727648e3fa81691a062cc_eddce439b8096cdb8fdc5174d09308e6_6dca0d061ad727648e3fa81691a062cc
12469 NODE eddce439b8096cdb8fdc5174d09308e6_6dca0d061ad727648e3fa81691a062cc
12539 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_eddce439b8096cdb8fdc5174d09308e6_6dca0d061ad727648e3fa81691a062cc_b050a4a7bf435ada8fd1f52c2d537fff_6dca0d061ad727648e3fa81691a062cc
12575 NODE b050a4a7bf435ada8fd1f52c2d537fff_6dca0d061ad727648e3fa81691a062cc
12641 RULE eda72887d51466ca12ef9fb370a5f983_b050a4a7bf435ada8fd1f52c2d537fff_6dca0d061ad727648e3fa81691a062cc_3544fae18e923fd8e9d181546e79d2ef_6dca0d061ad727648e3fa81691a062cc
12675 NODE 3544fae18e923fd8e9d181546e79d2ef_6dca0d061ad727648e3fa81691a062cc
12808 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_3544fae18e923fd8e9d181546e79d2ef_6dca0d061ad727648e3fa81691a062cc_d938797e61c1df5ac7f95dce6359f82_6dca0d061ad727648e3fa81691a062cc
12850 NODE d938797e61c1df5ac7f95dce6359f82_6dca0d061ad727648e3fa81691a062cc
